gene	chr	strand	start	end	ESC_WT-1	ESC_WT-2	ESC_TET1KO-1	ESC_TET1KO-2	ESC_TET2KO-1	ESC_TET2KO-2	day3_WT-1	day3_WT-2	day3_TET1KO-1	day3_TET1KO-2	day3_TET2KO-1	day3_TET2KO-2	day6_WT-1	day6_WT-2	day6_TET1KO-1	day6_TET1KO-2	day6_TET2KO-1	day6_TET2KO-2
Olfr916	chr9	-	38465042	38465975	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0681	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Zfp653	chr9	-	21859903	21875789	4.0008	2.9125	3.342	2.7984	3.4346	3.052	2.9861	3.0639	3.2642	2.8089	3.1003	3.1561	3.9069	3.1777	3.7361	3.5889	3.2203	3.2636
C230081A13Rik	chr9	-	56048935	56265857	4.8373	5.7265	4.8386	4.8782	5.5388	5.9354	3.182	3.5604	3.5879	3.6631	3.8245	3.724	3.5515	3.3683	4.0391	4.3032	3.9366	4.2449
Ccdc67	chr9	-	15364307	15432377	0.05	0.062	0.0606	0.0608	0.05	0.0819	0.0685	0.057	0.0923	0.0688	0.1003	0.05	0.0876	0.0671	0.0571	0.0567	0.0754	0.0786
Ccdc33	chr9	-	57876488	57966630	0.0682	0.05	0.0678	0.0545	0.05	0.0545	0.1644	0.1845	0.1329	0.1869	0.1864	0.1535	0.164	0.1363	0.175	0.3247	0.2048	0.1764
Mir128-2	chr9	-	112021139	112021215	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Plekho2	chr9	-	65402190	65427841	1.7963	1.9638	1.7434	1.7983	1.6293	1.8395	1.8529	1.8015	1.7261	1.8417	1.7903	1.7391	2.9848	2.8517	2.7167	3.0062	2.6129	2.5674
Fbxl22	chr9	-	66356265	66362400	0.0667	0.087	0.0825	0.0999	0.1166	0.0949	0.0738	0.05	0.0662	0.0596	0.0844	0.0611	0.2699	0.1946	1.2903	0.4189	0.1671	0.149
Tbc1d21	chr9	-	58207610	58218176	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Slc25a36	chr9	-	96977429	97011460	60.7103	64.1531	73.6834	68.9141	71.6279	53.0779	25.1137	23.7748	24.3013	22.2552	22.5104	25.4109	17.6683	21.4629	16.6448	15.8123	17.5162	22.499
Smad6	chr9	-	63800882	63869866	2.6656	1.8914	2.741	2.1488	1.9359	1.6718	1.2458	1.2325	1.0038	1.2296	1.3714	1.2293	2.7483	6.5597	14.7842	7.1486	3.4435	8.6023
Manf	chr9	-	106789745	106794269	23.4894	25.7474	21.7804	23.9979	34.8499	42.4829	28.6741	28.8693	28.8906	30.3806	29.8349	29.5622	27.47	25.8239	33.1294	32.551	27.8288	30.2089
Stac	chr9	-	111463937	111592720	0.05	0.05	0.05	0.0565	0.05	0.0628	0.0574	0.0667	0.0754	0.05	0.0836	0.0587	0.376	0.2967	0.1606	0.4188	0.6838	0.5319
Zbtb38	chr9	-	96585841	96632094	7.0068	6.0743	10.603	8.531	5.5924	5.5308	2.0474	2.3229	2.8	2.532	2.0147	1.9342	2.1821	1.9966	1.5936	1.9524	1.8995	1.8276
Zfp810	chr9	-	22081191	22112082	1.6398	1.7901	1.6697	1.4854	1.3447	1.4538	1.4359	1.5183	1.0765	0.9568	1.2781	1.4567	2.6946	2.7889	3.481	2.9081	2.6892	2.991
Cmc1	chr9	-	117973644	118059314	7.1731	6.0265	5.3214	3.8821	5.9107	6.8385	7.1785	6.5231	5.2552	5.3344	6.4867	6.6769	10.2532	10.3225	8.4821	10.4124	10.975	10.0939
Pml	chr9	-	58064986	58097593	22.0756	21.3857	23.263	19.277	20.1596	21.4256	22.4451	20.9193	28.2083	26.0717	17.1633	20.0465	6.5091	6.5561	4.3137	4.9997	5.0287	5.0773
Lyzl4	chr9	-	121486960	121550684	0.05	0.05	0.05	0.05	0.05	0.05	0.0688	0.05	0.05	0.05	0.067	0.072	0.05	0.05	0.05	0.05	0.1271	0.0717
Zglp1	chr9	-	20866836	20871537	0.5694	0.7698	1.0315	1.087	1.1475	0.8133	1.5126	0.9873	1.3158	1.1191	1.5411	1.8496	0.5686	0.6388	0.5799	0.4293	0.1641	0.4143
Gm6432	chr9	-	99129794	99137658	0.0918	0.0732	0.1722	0.0708	0.1527	0.0909	0.05	0.05	0.05	0.05	0.05	0.0779	0.05	0.0829	0.05	0.05	0.05	0.05
Olfr870	chr9	-	19975077	19976013	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Impg1	chr9	-	80161136	80359045	0.0683	0.05	0.05	0.0546	0.0556	0.0545	0.0552	0.0617	0.0559	0.0553	0.05	0.05	0.05	0.0644	0.05	0.0556	0.0661	0.05
Gm684	chr9	-	51078362	51086659	0.1538	0.0644	0.0753	0.0759	0.05	0.05	0.2573	0.4164	0.3705	0.41	0.2778	0.2754	0.3565	0.4594	0.2534	0.2096	0.2173	0.3413
Tbrg1	chr9	-	37456766	37464897	46.4148	33.3577	55.3654	47.4745	43.4112	35.1495	35.607	29.8789	44.883	43.1788	37.4391	40.0548	41.5094	54.6036	39.3742	37.5404	44.9739	58.7418
Atp2c1	chr9	-	105313691	105423587	7.0049	7.9641	7.0884	7.7139	9.4422	10.0633	8.7494	8.7471	9.6798	9.3744	8.17	8.5582	9.0758	9.6539	11.7896	11.3717	9.0211	10.818
Fbxl2	chr9	-	113886075	113935869	0.9508	1.0033	0.9286	0.7602	0.7988	0.6868	0.9782	0.8185	0.6221	0.5764	0.6787	0.8636	0.9743	1.2528	1.3265	0.9502	0.9913	1.0568
Mir34b	chr9	-	50911666	50911750	0.05	0.05	0.05	0.05	0.05	0.05	0.2726	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Slc24a1	chr9	-	64770667	64799414	0.3205	0.4161	0.4119	0.433	0.5874	0.6816	0.3872	0.2034	0.4792	0.4606	0.5109	0.6843	0.0849	0.0798	0.0664	0.0577	0.0832	0.0749
Uba5	chr9	-	103948917	103965451	9.2914	9.8035	9.8888	9.1391	9.4224	9.8194	9.5861	10.052	10.189	10.3579	8.3416	8.3189	11.5604	11.2772	10.7441	11.533	9.4202	8.6279
Eef1a1	chr9	-	78326260	78329531	4091.3676	3215.5809	4214.6975	3043.7427	2823.3081	2313.6643	3668.2244	3630.6754	3657.2534	3639.6643	3502.9529	3648.6938	3285.5564	3542.7526	3059.1041	3451.6999	4000.1463	3971.4172
Wdr61	chr9	-	54564961	54582335	17.6976	15.7379	21.5897	16.8288	17.3077	17.4255	22.3652	20.3959	23.3768	23.2228	21.5121	22.3	28.4308	26.6769	21.3906	27.5497	32.3797	29.5857
Pdcd6ip	chr9	-	113560861	113617377	11.7825	10.7483	15.1754	14.1151	10.6282	8.2488	15.0651	15.8202	18.9606	17.2119	13.5616	13.6801	17.2174	18.9779	16.8381	17.1483	16.191	19.458
Tbc1d2b	chr9	-	90096886	90165607	1.7242	1.413	2.0494	1.5972	1.6497	1.5252	1.238	1.4787	1.752	1.56	1.3503	1.3121	2.1839	2.6164	2.6401	2.4522	2.4448	3.1283
Angptl6	chr9	-	20678252	20684154	0.7628	0.6892	0.8679	0.8348	0.9005	0.9537	1.2695	1.3548	1.0854	0.91	1.4673	1.6462	1.346	1.356	0.8849	0.8751	1.1919	1.1709
Pth1r	chr9	-	110624588	110649649	0.1826	0.0901	0.05	0.0921	0.1389	0.0972	0.7303	0.5139	0.5198	0.6766	0.4604	0.6858	5.3397	6.6827	11.0402	6.5485	2.3367	4.5202
Slc38a3	chr9	-	107553485	107571299	0.7597	1.0368	0.7539	0.9445	1.6396	1.8588	6.0931	5.1743	2.6137	3.1633	5.1338	4.9261	3.7928	3.6448	2.0603	2.5721	1.7055	1.8999
Lipc	chr9	-	70645934	70782615	0.4257	0.4287	0.2665	0.2631	0.4174	0.485	0.0597	0.05	0.05	0.05	0.0676	0.05	0.0856	0.0635	0.128	0.0815	0.05	0.0613
Mir3471-1	chr9	-	30942991	31066970	0.7058	0.777	1.0094	0.3773	1.4608	0.3712	0.424	1.3123	1.1153	1.1866	0.5576	0.9259	0.2777	1.0842	0.9062	0.4532	0.4341	0.6993
Dis3l	chr9	-	64154562	64189064	2.2799	1.7805	2.3055	2.0287	1.6898	1.7775	2.9937	3.7223	4.0752	3.562	3.4087	3.2272	3.3658	3.0264	3.0587	3.4578	3.4458	3.3101
Elavl3	chr9	-	21819448	21856467	0.8197	0.8165	0.2663	0.3821	0.3266	0.3248	3.3158	2.335	1.2198	1.2634	2.9751	3.1864	1.4091	0.9912	0.1096	0.1543	0.7147	0.1835
Snhg5	chr9	-	88415890	88417735	34.7214	55.7993	42.9532	48.0783	57.0614	72.2317	74.9365	75.9726	55.1526	58.7756	64.0495	61.3654	38.0222	33.7396	17.7259	21.3103	24.5969	23.8144
Olfr828	chr9	-	18619797	18620736	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Mll1	chr9	-	44611437	44689357	9.1831	10.1852	9.7806	10.2773	11.1725	11.7911	12.9407	13.4091	15.9314	15.3603	12.8684	12.5917	11.3173	11.4468	9.807	10.5525	9.218	9.8057
Apeh	chr9	-	107987744	107996811	9.6082	8.5257	12.248	9.7901	10.0135	7.7617	7.7843	7.1417	7.4464	7.9729	7.5376	7.6609	9.8703	8.7227	9.4504	9.6126	9.7765	8.785
Olfr44	chr9	-	39291788	39301573	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ankrd49	chr9	-	14584641	14587408	6.3512	5.2635	6.1232	4.9394	4.0603	5.1307	11.3285	11.5467	9.8821	9.8226	9.7577	8.2557	15.8009	13.7695	9.1269	12.9315	16.9787	14.1842
1700034K08Rik	chr9	-	92874753	92900571	0.1563	0.05	0.05	0.103	0.0827	0.076	0.05	0.05	0.0845	0.1114	0.0774	0.05	0.05	0.05	0.05	0.05	0.05	0.05
1300017J02Rik	chr9	-	103152859	103190627	0.3815	0.1778	0.5279	0.3737	0.4841	0.3818	0.0993	0.0592	0.0781	0.1249	0.1021	0.127	0.08	0.1296	0.1441	0.0766	0.0669	0.1166
Fbxw14	chr9	-	109173638	109190190	0.05	0.05	0.05	0.0609	0.05	0.05	0.05	0.05	0.05	0.05	0.0613	0.0646	0.05	0.05	0.05	0.05	0.05	0.05
2300009A05Rik	chr9	-	63242253	63247051	4.2719	2.603	2.5634	2.1026	1.9711	1.769	4.8341	3.4624	3.3636	2.9644	3.1909	3.5655	6.9432	7.0545	4.9541	5.0063	5.8626	5.9855
Tspan3	chr9	-	55983690	56008877	16.1124	15.0401	18.6015	16.8229	19.5401	25.8006	21.8955	24.1902	24.7212	21.7657	23.685	21.3024	48.3779	45.2867	46.4525	51.0798	50.1204	47.8422
Ttc12	chr9	-	49245065	49294330	2.1185	1.4169	1.9001	1.1771	1.0772	0.7004	2.8161	2.1943	2.1631	2.1792	2.9401	3.0844	2.02	2.3079	2.4678	1.9551	1.7323	1.946
Clstn2	chr9	-	97344813	97933586	0.0877	0.0751	0.1235	0.0989	0.138	0.1386	0.2262	0.374	0.4467	0.3548	0.2872	0.196	0.4844	0.3828	0.5617	0.4022	0.5355	0.4629
Yap1	chr9	-	7932000	8004596	21.3008	23.5657	29.7436	28.6913	26.5569	23.4547	36.3436	38.2344	49.7934	47.5616	38.0083	39.3557	33.8318	35.4632	32.8907	36.7814	34.1235	37.0751
Zic1	chr9	-	91255182	91260637	0.1381	0.0771	0.05	0.0989	0.0981	0.0788	0.1616	0.3703	0.3044	0.2988	0.146	0.1677	33.5316	23.0425	0.1011	4.8709	43.3422	25.2527
Cep63	chr9	-	102488907	102528454	3.0053	3.1241	3.7628	3.5284	3.1001	3.4875	4.5304	4.6227	4.6575	4.4487	4.4372	4.7367	5.3212	4.5575	3.9803	4.9485	4.6088	3.9997
Cul5	chr9	-	53422686	53475612	13.8829	14.1182	14.0673	12.6063	13.9771	13.3835	12.2073	12.8828	13.6273	12.8322	12.8161	13.1716	10.4673	9.7176	8.6934	9.5772	10.0936	9.7485
Rbm6	chr9	-	107675890	107775150	14.6848	16.0695	15.6949	15.1232	15.4388	14.9033	19.2689	18.9616	17.617	18.0437	18.2061	18.0717	19.3693	18.5213	19.3197	19.8938	19.4996	19.5167
Naalad2	chr9	-	18127464	18190372	0.6351	0.3068	0.6088	0.3664	0.5895	0.253	0.1404	0.1438	0.4302	0.3458	0.2639	0.2128	0.1008	0.1077	0.432	0.2374	0.1	0.1224
Pknox2	chr9	-	36698566	36954899	1.6065	0.8974	1.785	1.3263	1.4794	1.2754	0.2349	0.2699	0.2788	0.2213	0.1648	0.2542	7.7401	7.1514	2.8203	4.7901	8.0377	6.9667
Map2k5	chr9	-	63011576	63225659	4.566	4.8474	4.5821	4.5075	3.5311	3.635	6.1448	6.5998	5.4758	5.3438	5.7604	5.5488	7.4229	7.3785	7.0463	7.1399	6.6158	7.2004
Cyp1a2	chr9	-	57524743	57531462	0.0673	0.0596	0.05	0.05	0.05	0.067	0.05	0.05	0.05	0.05	0.0589	0.05	0.0741	0.05	0.05	0.05	0.05	0.05
Coro2b	chr9	-	62267298	62384851	3.7557	2.1444	3.6377	2.761	1.5909	1.6962	1.8163	1.3088	2.0804	2.1333	1.8359	2.0033	1.2928	1.3177	2.6235	2.1779	1.5927	2.4781
Panx3	chr9	-	37467486	37476807	0.05	0.05	0.05	0.05	0.05	0.05	0.0574	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0576	0.0758
Rab11a	chr9	-	64563106	64585563	16.2967	12.7018	16.7868	13.5257	10.6845	9.3785	19.6461	18.9955	20.535	19.351	18.9732	19.6863	29.2085	27.4908	27.6861	28.4138	31.6424	32.2964
Rnf26	chr9	-	43918863	43921134	9.5068	10.8383	11.7801	11.4795	11.1346	12.5117	15.7515	16.1778	14.3015	14.3558	15.3395	14.62	14.7515	15.386	9.6832	12.0444	12.8442	14.4119
5730403I07Rik	chr9	-	77214218	77247223	0.1469	0.0768	0.1602	0.1225	0.0798	0.0895	0.096	0.0604	0.0605	0.1246	0.0917	0.0716	0.0612	0.1009	0.0922	0.0798	0.0784	0.1246
Crtam	chr9	-	40780880	40812669	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0612	0.0614	0.05	0.059	0.05	0.0743	0.0638	0.1185	0.1575	0.05	0.0615
Col6a4	chr9	-	105892648	105999022	0.1117	0.0671	0.0629	0.0786	0.0798	0.0716	0.1204	0.1037	0.0844	0.0729	0.0932	0.1236	0.0714	0.0952	0.073	0.0744	0.0861	0.0733
Ube4a	chr9	-	44731209	44773683	5.4111	6.9381	6.8511	7.2568	8.1072	7.7005	5.3964	6.7247	8.0827	7.8044	6.1446	5.4839	6.2161	5.6171	7.9929	7.0125	5.693	5.2063
Cdv3	chr9	-	103255431	103268110	55.7803	57.8817	66.9386	65.4885	64.9545	63.2766	78.2452	77.1522	86.7849	86.5162	81.0062	81.3703	72.3604	62.3327	44.0942	52.4535	65.1125	58.2891
Stmn1-rs1	chr9	-	115190209	115191188	0.5859	0.7369	0.54	0.5682	0.75	0.9031	0.8522	0.4583	0.4635	0.6112	0.7759	0.721	0.6316	0.631	1.2963	0.9562	0.9131	1.0669
Rnf123	chr9	-	107954002	107981706	2.7938	2.1355	3.3117	2.6487	2.414	2.0419	2.2302	2.2932	2.2133	1.8943	2.074	1.852	3.1753	3.2565	2.1985	2.2887	3.0771	3.2307
Fbxw19	chr9	-	109381088	109398368	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gm10635	chr9	-	79291843	79367109	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0557	0.05	0.0551	0.05	0.05	0.05	0.0778	0.0615	0.0554	0.0552	0.0558
Dpy19l1	chr9	-	24216224	24307584	6.6534	6.6648	7.9959	7.3019	7.7808	7.8384	11.7025	10.8907	11.8617	11.7114	12.0417	12.601	8.2664	7.4678	6.3765	7.7668	9.954	9.4437
Col12a1	chr9	-	79446797	79566485	0.0725	0.0578	0.1241	0.0584	0.0552	0.0541	0.0853	0.0987	0.1085	0.1085	0.0703	0.0763	2.5542	2.0282	0.9129	1.2969	3.8285	2.5635
Trim42	chr9	-	97249980	97270377	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0577	0.0569	0.05	0.05	0.05	0.05	0.05	0.05	0.05
1700012B09Rik	chr9	-	14562637	14575474	0.05	0.05	0.05	0.05	0.0794	0.0969	0.1046	0.1114	0.05	0.05	0.1982	0.082	0.1497	0.05	0.05	0.05	0.05	0.05
Ubash3b	chr9	-	40821723	40965577	0.2118	0.1901	0.1387	0.1207	0.137	0.1045	0.7707	0.7636	0.5296	0.6458	0.4205	0.3876	1.6301	1.4851	2.5385	3.0467	2.0515	2.6127
Htr3a	chr9	-	48707317	48719204	0.1444	0.0849	0.1575	0.1207	0.1564	0.1271	0.9297	0.5853	0.5308	0.723	0.7649	0.8805	0.1703	0.1617	0.0706	0.1081	0.1514	0.1123
Cyb561d2	chr9	-	107441341	107444196	1.1908	1.5799	1.0729	1.5654	1.7918	1.9518	1.2567	1.2778	1.437	1.2513	1.3319	0.9962	1.8648	1.8347	1.4434	1.7811	1.7204	1.1552
Olfr891	chr9	-	37987455	37988406	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ccdc15	chr9	-	37083419	37155977	2.6452	2.0093	1.6558	1.9953	1.6223	1.6493	2.7394	2.0374	1.549	1.6676	2.0374	2.1435	2.6408	2.9913	1.3556	1.5086	2.3163	2.7331
Olfr160	chr9	-	37518932	37519865	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0951	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Rfpl3s	chr9	-	55810395	55828739	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0769	0.0739	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Rplp1	chr9	-	61761089	61762317	3349.0266	3664.6872	3522.7177	3361.7751	2726.124	2827.6451	2596.9019	2448.6292	2441.1946	2488.4006	2571.8379	2674.506	2518.7016	2185.0459	1802.6402	2406.8658	2703.5924	2311.8227
1810064F22Rik	chr9	-	22011229	22018304	0.2494	0.1684	0.175	0.1709	0.1726	0.1686	0.2043	0.1962	0.1888	0.231	0.175	0.1642	0.1489	0.1174	0.0872	0.1551	0.1501	0.1628
Rgl3	chr9	-	21775970	21793897	0.2686	0.1854	0.1503	0.1591	0.129	0.0815	8.05	5.924	5.4478	5.8297	4.6951	5.2541	3.1848	3.5684	2.7027	2.6276	1.7369	2.0276
A730043L09	chr9	-	62090402	62091907	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0675	0.05	0.05	0.05	0.05	0.0689	0.05	0.05	0.05	0.05	0.05
AI593442	chr9	-	52481146	52487534	0.0733	0.0532	0.1525	0.0879	0.05	0.0529	0.0766	0.0875	0.0841	0.0905	0.1072	0.0773	0.0622	0.0684	0.0576	0.0572	0.0808	0.0693
Ndufaf3	chr9	-	108468195	108469673	7.9475	7.6812	9.521	8.2406	6.6423	6.6884	8.0762	7.4831	6.4401	7.5423	8.1221	8.3825	7.0723	6.8351	4.8247	6.6637	6.6553	6.8045
Snx33	chr9	-	56765006	56776178	0.1793	0.0978	0.3583	0.3118	0.209	0.1556	1.0415	1.4098	1.6793	1.6895	0.9954	0.8657	3.6877	3.6247	4.2055	3.7299	3.1174	3.2557
Gm16853	chr9	-	21209685	21216164	0.1325	0.0866	0.0661	0.1077	0.0906	0.1632	0.0971	0.1136	0.0607	0.1072	0.0585	0.061	0.0615	0.063	0.0716	0.0906	0.0597	0.0827
Mir101c	chr9	-	3038668	3038743	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Fam55b	chr9	-	48126086	48148981	0.0597	0.05	0.069	0.0597	0.0799	0.05	0.0778	0.0937	0.0816	0.0725	0.0952	0.0565	0.1852	0.1652	0.0945	0.0799	0.1127	0.0693
Olfr976	chr9	-	39761841	39764654	0.0617	0.0565	0.0614	0.0733	0.0643	0.09	0.05	0.0575	0.0576	0.05	0.056	0.0578	0.05	0.05	0.05	0.05	0.05	0.0577
4930546K05Rik	chr9	-	41990320	42017314	0.0593	0.05	0.0861	0.0546	0.0785	0.0682	0.05	0.0559	0.05	0.0554	0.0643	0.05	0.0564	0.0573	0.0681	0.05	0.0554	0.0745
Cmtm8	chr9	-	114698462	114753270	0.9745	0.3575	0.5008	0.4961	0.2773	0.2915	6.1832	5.3687	4.6558	4.9462	4.5189	4.7219	9.1255	12.2004	9.6264	10.0554	7.7749	10.2409
Vps11	chr9	-	44156187	44169753	7.7213	10.195	11.977	12.3862	10.2984	11.0355	11.0574	11.8919	15.1525	13.6859	10.0166	10.0695	10.1982	11.6771	10.9684	10.7335	9.1145	8.68
Nr2e3	chr9	-	59790577	59797886	0.4273	0.2137	0.21	0.0909	0.1206	0.1062	0.05	0.0605	0.0607	0.05	0.05	0.05	0.05	0.05	0.0714	0.05	0.0884	0.05
Fam46a	chr9	-	85214045	85220757	0.4669	0.2646	0.1546	0.163	0.1196	0.0879	1.4766	1.5519	1.5285	1.2785	0.631	0.6228	1.138	2.1448	3.8102	2.1157	0.6884	1.2688
Ankrd34c	chr9	-	89623086	89633313	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0586	0.05	0.05	0.05
Sik2	chr9	-	50700905	50817178	2.6716	3.0434	2.85	2.9205	2.6431	3.0661	3.6928	4.1604	4.7769	4.7059	4.4566	4.3224	5.2435	4.6578	4.6723	5.2836	4.7807	4.6321
Ncam1	chr9	-	49310250	49607174	1.0306	1.1853	2.8447	3.1118	2.9207	4.0411	0.4109	0.4226	0.3053	0.3092	0.6853	0.6538	2.4871	2.2629	2.5019	2.8534	2.879	2.8457
Zc3h12c	chr9	-	51920089	51976216	0.6327	0.4856	0.8895	0.5597	0.4378	0.4062	1.6201	2.0875	2.0997	2.1566	1.4544	1.3497	3.7485	3.6293	2.1093	2.4828	3.5382	2.9155
4930502A04Rik	chr9	-	68318708	68368007	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0743	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Parp3	chr9	-	106372683	106378982	1.0213	2.3763	1.9569	1.5231	1.7034	1.8007	1.236	1.7199	1.0939	0.9134	0.8983	0.6405	1.6156	1.523	1.2532	1.5279	1.0711	1.1432
Pou2f3	chr9	-	42932021	43013838	3.7033	5.2028	4.6022	3.8397	3.4863	4.4571	0.2798	0.2502	0.4133	0.2979	0.258	0.2931	0.1222	0.1423	0.1009	0.122	0.1566	0.1444
Ap1m2	chr9	-	21099900	21116777	6.936	6.5128	8.4589	5.5587	1.4416	1.3068	17.5866	17.9404	20.3149	20.4325	9.9905	9.021	3.9156	6.6107	7.6985	5.4328	1.0666	2.3662
Zfp445	chr9	-	122758027	122775124	11.096	11.8438	13.0764	12.8328	12.9979	11.2975	15.6698	16.621	17.3358	17.1909	15	14.7055	12.2449	12.4537	12.7504	12.6413	11.9746	13.1987
Cgnl1	chr9	-	71474315	71619409	1.0792	2.8594	0.8691	1.2252	2.3507	3.4102	7.979	7.8744	8.2996	8.341	10.8607	11.0608	7.6707	10.4322	25.3797	17.6182	7.3489	10.7497
Sidt2	chr9	-	45745957	45763332	7.0411	5.441	11.1493	9.7005	10.8268	10.0195	10.695	10.7606	14.8402	13.9762	9.8677	9.8604	10.5118	12.4788	9.5486	10.4966	9.0992	9.746
Gpd1l	chr9	-	114808456	114843105	5.6777	5.1885	5.2695	3.9133	4.9499	4.5581	5.0811	5.6817	4.7256	4.8409	5.589	5.8324	4.0989	4.1053	3.7387	3.9237	4.015	3.4001
1700080E11Rik	chr9	-	105045673	105047412	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Atm	chr9	-	53245226	53344776	5.9669	6.2573	6.7485	6.4191	6.347	6.0738	11.0872	10.5512	10.8869	10.7316	11.1173	11.1529	7.0799	6.6091	6.1136	6.9528	6.5798	6.2712
Tmem136	chr9	-	42916735	42924653	2.4951	2.257	2.6906	3.1268	2.8889	3.5652	2.0961	1.8953	1.6328	1.5547	2.2836	2.5902	3.9542	3.7437	3.0897	3.0801	3.9951	3.989
Tbcel	chr9	-	42220399	42280309	5.9053	6.8744	6.4948	6.1357	6.1731	5.1559	5.4634	5.4248	4.996	4.8212	4.9455	5.3449	4.9882	5.7241	4.2476	3.9875	4.4499	4.8213
Acat1	chr9	-	53388626	53418455	4.2008	2.5287	2.7711	2.1461	3.1332	2.1738	2.7885	2.2829	2.5515	2.3358	2.9998	3.2377	6.2078	6.2438	4.3655	4.7125	7.144	6.4344
Ppp2r3a	chr9	-	101007319	101154162	1.1637	1.018	1.0972	0.9795	0.7839	0.565	1.3254	1.2934	1.2601	1.2469	1.4593	1.3651	2.3707	2.7304	3.4849	3.0223	3.0271	3.2259
Dmxl2	chr9	-	54212964	54349433	1.5761	1.336	1.1527	1.191	1.4324	1.2803	3.1382	2.7278	1.8808	1.9597	2.6008	2.8848	2.8523	2.6736	1.5585	1.9192	2.6753	2.4398
Gm1110	chr9	-	26687151	26730666	0.05	0.05	0.05	0.0568	0.05	0.05	0.1281	0.1115	0.1123	0.0658	0.0641	0.0591	0.1071	0.104	0.0589	0.05	0.058	0.0681
Fbxw24	chr9	-	109503629	109528573	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0641	0.05	0.05	0.0614	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Herpud2	chr9	-	24912573	24956280	7.9125	6.2497	7.7535	6.3661	6.5136	5.5521	10.1761	10.5074	9.3601	8.8729	9.2877	9.1796	10.7732	11.329	8.3035	8.2134	9.645	10.832
Sc5d	chr9	-	42062259	42072383	6.0712	5.7717	6.2923	7.4725	8.4649	8.8342	10.027	10.6389	8.2544	8.1278	8.6122	8.0927	13.3764	12.7768	11.6905	13.0583	13.3536	17.9495
AY074887	chr9	-	54798063	54798761	0.2379	0.3885	0.2333	0.3314	0.1944	0.6023	0.1304	0.1706	0.5079	0.24	0.3409	0.301	0.1479	0.3093	0.3567	0.2811	0.2151	0.112
Zfp599	chr9	-	22051873	22064339	4.7655	4.9523	4.7029	4.8444	4.5839	4.7642	3.5396	3.9232	3.8953	3.914	3.6388	3.4934	3.3062	2.857	3.3621	3.7169	3.0375	2.6055
Mpi	chr9	-	57392074	57400559	12.2734	12.0185	15.8304	13.9568	14.7099	15.5448	13.704	14.2985	15.0509	15.0476	16.4513	14.3581	10.6659	9.3505	8.9804	10.2976	10.3898	9.6089
Tmie	chr9	-	110768549	110782587	0.0904	0.0649	0.1025	0.097	0.0665	0.1093	0.5411	0.2485	0.3385	0.3998	0.6541	0.5891	0.2649	0.2834	0.173	0.0914	0.1209	0.1299
P4htm	chr9	-	108481156	108499931	1.3724	0.773	1.7462	1.4967	2.1323	2.091	0.8455	0.5498	0.5797	0.6884	1.1251	0.8848	0.6414	0.7643	0.594	0.6292	0.8245	0.7316
